country,continent,1989_life_exp,1999_life_exp,2009_life_exp,2019_life_exp,2023_life_exp,1989_income_pp,1999_income_pp,2009_income_pp,2019_income_pp,2023_income_pp,1989_population,1999_population,2009_population,2019_population,2023_population,1989_children_per_women,1999_children_per_women,2009_children_per_women,2019_children_per_women,2023_children_per_women,1989_child_mortality,1999_child_mortality,2009_child_mortality,2019_child_mortality,2023_child_mortality
Cuba,North America,75.3,76.6,78.5,78.7,79.1,7.36,5.32,9.14,11.8,11.2,10500000.0,11100000.0,11300000.0,11300000.0,11200000.0,10.5,11.1,11.3,11.3,11.2,14.0,8.9,6.32,4.9,4.57
Dominica,North America,71.3,72.1,72.7,72.3,0.0,7.01,9.65,12.8,13.0,12.5,70000.0,68700.0,68800.0,71400.0,73000.0,70.0,68.7,68.8,71.4,73.0,16.2,14.9,19.6,34.9,32.7
Dominican Republic,North America,71.6,73.4,73.4,73.2,73.8,7.84,13.6,12.4,16.5,14.9,6980000.0,8410000.0,9650000.0,10900000.0,11300000.0,6.98,8.41,9.65,10.9,11.3,62.6,42.2,34.6,28.3,25.6
El Salvador,North America,67.7,72.8,74.1,75.7,76.6,7.91,9.39,9.88,13.0,13.3,5270000.0,5920000.0,6090000.0,6280000.0,6360000.0,5.27,5.92,6.09,6.28,6.36,63.2,34.8,20.2,13.1,11.3
Grenada,North America,69.4,71.9,72.5,73.3,73.5,8.74,11.2,12.9,15.6,15.1,99200.0,107000.0,113000.0,123000.0,126000.0,99.2,107.0,113.0,123.0,126.0,23.2,15.9,14.2,15.2,14.6
Guatemala,North America,61.6,66.4,69.9,72.6,73.4,6.05,11.2,11.0,10.3,11.0,8840000.0,11500000.0,14300000.0,17100000.0,18100000.0,8.84,11.5,14.3,17.1,18.1,83.8,53.9,36.4,25.2,21.9
Haiti,North America,54.4,57.0,60.7,63.8,64.9,3.05,2.72,3.49,3.97,3.47,6780000.0,8210000.000000001,9730000.0,11200000.0,11700000.0,6.78,8.21,9.73,11.2,11.7,149.0,107.0,81.5,63.1,57.1
Honduras,North America,69.1,69.9,71.3,72.1,72.7,5.55,7.71,11.3,10.1,10.4,4910000.0,6480000.0,8279999.999999999,9960000.0,10600000.0,4.91,6.48,8.28,9.96,10.6,60.9,38.9,24.6,17.1,15.4
Jamaica,North America,74.8,74.5,74.6,76.3,76.7,9.91,13.9,14.9,15.4,15.4,2370000.0,2600000.0,2720000.0,2810000.0,2830000.0,2.37,2.6,2.72,2.81,2.83,31.4,22.9,18.8,14.1,13.1
Mexico,North America,70.3,73.7,75.0,75.6,76.0,10.3,10.9,13.5,14.3,15.2,80200000.0,96300000.0,111000000.0,125000000.0,128000000.0,80.2,96.3,111.0,125.0,128.0,47.1,27.9,17.9,12.5,11.7
Nicaragua,North America,71.7,73.3,74.1,75.4,76.2,6.34,6.41,8.54,11.7,12.9,4130000.0,5050000.0,5770000.0,6660000.0,7050000.0,4.13,5.05,5.77,6.66,7.05,69.4,39.0,21.3,17.9,15.6
Panama,North America,75.0,77.3,78.4,80.0,80.7,11.9,16.9,22.5,33.5,35.3,2400000.0,2940000.0,3560000.0,4230000.0,4470000.0,2.4,2.94,3.56,4.23,4.47,31.7,26.4,20.5,14.9,13.6
Trinidad and Tobago,North America,69.1,69.8,73.2,74.9,75.4,17.2,17.0,27.6,26.0,24.7,1260000.0,1330000.0,1400000.0,1520000.0,1530000.0,1.26,1.33,1.4,1.52,1.53,31.0,28.7,24.1,17.9,16.5
Australia,Oceania,76.5,79.4,81.9,82.9,83.5,40.7,41.2,61.2,65.0,67.6,16800000.0,18800000.0,21700000.0,25400000.0,26400000.0,16.8,18.8,21.7,25.4,26.4,9.71,6.31,4.99,3.59,3.25
Fiji,Oceania,66.2,65.9,67.5,68.4,68.9,7.73,9.79,10.9,7.91,7.63,773000.0,823000.0,901000.0,918000.0,936000.0,773.0,823.0,901.0,918.0,936.0,30.3,23.0,23.9,25.3,23.1
Kiribati,Oceania,54.5,56.2,58.6,60.8,61.6,6.34,5.74,5.7,6.25,6.44,73400.0,87300.0,106000.0,124000.0,134000.0,73.4,87.3,106.0,124.0,134.0,99.5,73.4,65.6,51.0,45.2
Marshall Islands,Oceania,63.1,63.0,63.8,65.5,0.0,6.99,6.68,7.32,11.6,12.8,45000.0,53800.0,53600.0,44700.0,42000.0,45.0,53.8,53.6,44.7,42.0,51.0,40.7,39.1,32.2,29.4
Nauru,Oceania,62.1,59.3,59.6,63.4,0.0,21.6,5.85,5.03,8.04,8.37,9310.0,10400.0,10200.0,12100.0,12800.0,9310.0,10.4,10.2,12.1,12.8,62.2,42.9,39.3,31.6,30.1
New Zealand,Oceania,75.1,78.0,80.6,81.8,82.4,29.5,33.0,37.8,43.6,45.2,3330000.0,3830000.0,4300000.0,4960000.0,5230000.0,3.33,3.83,4.3,4.96,5.23,11.8,7.6,6.21,5.61,5.3
Palau,Oceania,64.6,66.2,67.0,67.5,0.0,18.1,14.9,15.1,18.3,14.2,15000.0,19400.0,18800.0,17900.0,18100.0,15.0,19.4,18.8,17.9,18.1,35.6,29.4,23.9,17.4,15.8
Papua New Guinea,Oceania,62.5,63.3,62.6,64.7,65.5,2.45,3.13,3.47,4.44,4.28,3760000.0,5320000.0,7360000.0,9540000.0,10300000.0,3.76,5.32,7.36,9.54,10.3,88.8,73.8,59.6,46.4,41.7
Samoa,Oceania,66.8,68.3,67.5,70.5,71.0,8.9,8.83,10.7,11.4,9.9,168000.0,182000.0,193000.0,212000.0,226000.0,168.0,182.0,193.0,212.0,226.0,31.2,21.9,24.2,15.4,13.8
Solomon Islands,Oceania,55.7,57.0,57.1,59.2,59.6,3.57,4.0,3.65,4.17,3.58,315000.0,419000.0,528000.0,675000.0,740000.0,315.0,419.0,528.0,675.0,740.0,39.4,31.0,26.5,19.5,17.9
Tonga,Oceania,70.8,70.6,70.0,73.0,73.5,8.89,11.3,10.6,9.5,9.29,98400.0,102000.0,107000.0,105000.0,108000.0,98.4,102.0,107.0,105.0,108.0,23.0,17.9,17.2,15.2,13.7
Tuvalu,Oceania,60.3,64.0,66.5,67.9,0.0,6.38,9.15,8.71,12.1,11.9,9020.0,9640.0,10400.0,11000.0,11400.0,9020.0,9640.0,10.4,11.0,11.4,54.2,42.6,32.5,23.9,22.6
Vanuatu,Oceania,63.0,63.0,64.2,65.5,66.0,4.98,5.34,5.38,5.43,4.84,147000.0,187000.0,240000.0,304000.0,335000.0,147.0,187.0,240.0,304.0,335.0,37.5,29.0,29.2,25.7,22.7
Argentina,South America,72.3,73.8,75.8,76.6,77.2,14.4,18.9,21.1,21.7,21.3,32200000.000000004,36700000.0,40700000.0,44700000.0,45800000.0,32.2,36.7,40.7,44.7,45.8,28.8,20.4,14.9,9.66,8.72
Bolivia,South America,61.1,66.0,70.1,72.0,73.0,11.4,11.8,16.5,19.6,20.0,6950000.0,8440000.0,10100000.0,11800000.0,12400000.0,6.95,8.44,10.1,11.8,12.4,126.0,79.8,43.7,26.1,23.1
Brazil,South America,66.7,70.8,73.7,75.8,76.6,12.2,12.4,17.1,21.1,20.1,148000000.0,173000000.0,195000000.0,212000000.0,216000000.0,148.0,173.0,195.0,212.0,216.0,65.8,37.1,19.6,13.9,12.3
Chile,South America,73.2,76.5,78.6,80.2,80.8,11.0,15.0,16.6,25.3,28.4,13100000.0,15200000.0,16800000.0,19000000.0,19600000.0,13.1,15.2,16.8,19.0,19.6,20.4,11.5,8.83,7.03,6.32
Colombia,South America,70.8,74.1,77.5,80.2,80.9,10.0,8.98,12.7,15.5,15.2,31900000.0,38600000.0,44300000.0,50200000.0,52100000.0,31.9,38.6,44.3,50.2,52.1,36.4,25.8,19.1,13.8,12.4
Ecuador,South America,71.5,74.2,74.1,76.4,77.2,7.84,8.5,12.1,15.4,15.2,10200000.0,12400000.0,14700000.0,17300000.0,18200000.0,10.2,12.4,14.7,17.3,18.2,56.6,30.9,19.2,13.9,12.3
Guyana,South America,62.2,64.1,65.9,67.3,67.7,4.61,8.63,10.7,14.6,48.9,753000.0,758000.0,751000.0,799000.0,814000.0,753.0,758.0,751.0,799.0,814.0,61.8,47.8,38.2,29.3,27.6
Paraguay,South America,75.6,75.5,75.8,76.6,77.0,15.4,14.6,14.2,19.5,19.0,3950000.0,5030000.0,5700000.0,6530000.0,6860000.0,3.95,5.03,5.7,6.53,6.86,47.2,34.5,26.8,19.8,18.5
Peru,South America,69.2,74.4,77.4,80.3,81.1,9.69,8.77,11.1,13.8,12.3,21600000.0,26300000.0,29000000.0,32799999.999999996,34400000.0,21.6,26.3,29.0,32.8,34.4,84.9,41.9,21.1,13.9,12.2
Suriname,South America,68.2,70.2,72.1,72.7,73.2,15.0,13.1,17.8,18.6,15.2,408000.0,470000.0,540000.0,600000.0,623000.0,408.0,470.0,540.0,600.0,623.0,49.2,35.7,25.5,18.4,16.7
Uruguay,South America,73.0,74.4,76.5,77.5,78.1,14.7,19.1,24.3,28.8,28.6,3100000.0,3280000.0,3340000.0,3430000.0,3420000.0,3.1,3.28,3.34,3.43,3.42,23.9,17.6,11.2,7.38,6.7
Venezuela,South America,72.4,70.3,74.6,75.0,75.5,13.3,9.32,12.3,5.0,4.32,19300000.0,24000000.0,28300000.0,29000000.0,28800000.0,19.3,24.0,28.3,29.0,28.8,30.8,27.5,17.0,25.3,23.8
