country,continent,1989_life_exp,1999_life_exp,2009_life_exp,2019_life_exp,2023_life_exp,1989_income_pp,1999_income_pp,2009_income_pp,2019_income_pp,2023_income_pp,1989_population,1999_population,2009_population,2019_population,2023_population,1989_children_per_women,1999_children_per_women,2009_children_per_women,2019_children_per_women,2023_children_per_women,1989_child_mortality,1999_child_mortality,2009_child_mortality,2019_child_mortality,2023_child_mortality
Tunisia,Africa,72.1,74.0,76.0,77.7,78.5,7.41,8.76,11.3,14.2,13.6,8260000.0,9790000.0,10800000.0,12000000.0,12500000.0,8.26,9.79,10.8,12.0,12.5,58.0,32.3,18.9,16.5,14.3
Uganda,Africa,49.1,49.1,58.5,66.2,67.5,2.52,2.22,3.38,3.52,3.62,17000000.0,23300000.0,31400000.0,42900000.0,48600000.0,17.0,23.3,31.4,42.9,48.6,188.0,154.0,82.9,44.6,39.3
Zambia,Africa,53.0,45.3,55.7,63.2,64.2,3.17,3.35,2.68,2.98,2.94,7490000.0,9620000.0,13300000.0,18400000.0,20600000.0,7.49,9.62,13.3,18.4,20.6,184.0,169.0,85.1,56.1,50.1
Zimbabwe,Africa,63.2,48.5,50.2,61.0,61.9,7.36,7.87,4.04,4.5,4.46,9850000.0,11700000.0,12700000.0,15400000.0,16700000.0,9.85,11.7,12.7,15.4,16.7,77.8,105.0,92.7,44.4,40.6
Afghanistan,Asia,52.7,54.7,59.9,63.3,64.6,3.44,1.82,4.06,4.62,3.1,10700000.0,19300000.0,27400000.0,37800000.0,42200000.0,10.7,19.3,27.4,37.8,42.2,185.0,133.0,91.9,60.1,52.4
Bahrain,Asia,69.5,71.2,74.5,77.0,77.5,24.9,41.2,46.1,51.0,53.3,500000.0,692000.0,1180000.0,1490000.0,1490000.0,500.0,692.0,1.18,1.49,1.49,23.2,13.2,8.92,6.89,6.18
Bangladesh,Asia,57.7,65.1,69.6,74.5,75.7,2.77,3.4,4.03,4.7,5.19,105000000.0,127000000.0,147000000.0,166000000.0,173000000.0,105.0,127.0,147.0,166.0,173.0,150.0,92.2,52.2,28.9,24.4
Bhutan,Asia,59.6,66.0,70.5,73.2,74.3,3.21,4.98,8.21,12.5,16.4,544000.0,571000.0,698000.0,767000.0,787000.0,544.0,571.0,698.0,767.0,787.0,133.0,82.0,45.1,28.5,24.5
Brunei,Asia,69.3,72.3,73.8,74.4,74.9,87.8,77.5,69.1,64.0,60.7,254000.0,327000.0,390000.0,438000.0,453000.0,254.0,327.0,390.0,438.0,453.0,13.6,10.7,9.55,11.3,10.2
Cambodia,Asia,57.4,60.0,66.5,69.9,70.8,2.29,1.94,3.4,5.83,6.19,8570000.0,11900000.0,14200000.0,16200000.0,16900000.0,8.57,11.9,14.2,16.2,16.9,116.0,114.0,47.9,27.0,23.1
China,Asia,67.7,71.2,74.7,77.6,78.3,1.91,3.08,6.79,14.2,16.0,1130000000.0,1260000000.0,1340000000.0,1420000000.0,1430000000.0,1.13,1.26,1.34,1.42,1.43,53.9,39.2,17.0,8.34,7.39
India,Asia,59.1,62.6,66.8,70.8,71.7,2.69,2.97,3.51,4.97,5.49,852000000.0,1040000000.0,1220000000.0,1380000000.0,1430000000.0,852.0,1.04,1.22,1.38,1.43,130.0,95.2,61.4,35.2,30.6
Indonesia,Asia,63.7,67.0,69.1,71.4,72.1,2.14,2.83,4.31,7.34,8.12,179000000.0,211000000.0,241000000.0,270000000.0,278000000.0,179.0,211.0,241.0,270.0,278.0,88.0,54.9,35.5,24.1,21.2
Iran,Asia,68.1,71.6,75.1,77.8,78.5,8.9,11.5,16.4,14.5,16.0,53600000.0,64500000.0,74300000.0,86600000.0,89200000.0,53.6,64.5,74.3,86.6,89.2,59.2,36.2,20.7,13.9,11.9
Iraq,Asia,66.8,68.3,70.1,73.3,73.8,10.1,10.2,11.0,12.6,10.7,17400000.0,23800000.0,30300000.0,41600000.0,45500000.0,17.4,23.8,30.3,41.6,45.5,54.9,45.2,35.8,25.9,23.4
Israel,Asia,77.0,78.7,81.4,83.0,83.6,22.1,26.8,31.7,41.9,45.8,4670000.0,5990000.0,7200000.0,8610000.0,9170000.0,4.67,5.99,7.2,8.61,9.17,12.1,7.17,4.72,3.58,3.11
Japan,Asia,79.3,81.2,83.3,84.8,85.3,37.4,40.6,47.2,52.4,53.6,123000000.0,127000000.0,128000000.0,126000000.0,123000000.0,123.0,127.0,128.0,126.0,123.0,6.45,4.73,3.3,2.41,2.2
Jordan,Asia,70.7,72.5,76.7,78.2,78.8,15.2,12.5,16.0,13.6,13.6,3310000.0,4950000.0,6780000.0,10700000.0,11300000.0,3.31,4.95,6.78,10.7,11.3,37.4,27.8,20.9,15.7,14.2
Kazakhstan,Asia,68.3,64.8,67.3,71.9,72.4,8.15,5.9,9.34,12.8,13.1,16700000.0,15300000.0,16399999.999999998,18800000.0,19600000.0,16.7,15.3,16.4,18.8,19.6,52.9,45.3,22.4,9.28,8.34
Kuwait,Asia,75.3,77.8,78.7,81.5,81.9,36.3,56.6,66.1,48.2,48.8,2210000.0,1880000.0,2800000.0,4440000.0,4310000.0,2.21,1.88,2.8,4.44,4.31,18.5,12.7,10.7,7.63,6.83
Lebanon,Asia,70.3,74.6,75.5,76.6,77.0,9.12,19.7,28.8,27.6,21.2,3530000.0,4250000.0,4950000.0,5780000.0,5350000.0,3.53,4.25,4.95,5.78,5.35,33.9,21.0,10.8,7.39,7.06
Malaysia,Asia,71.6,72.1,74.2,75.0,75.6,12.5,17.5,20.2,33.8,35.5,17000000.0,22400000.0,28200000.0,32799999.999999996,34300000.0,17.0,22.4,28.2,32.8,34.3,17.4,11.0,7.91,7.58,6.85
Maldives,Asia,64.9,71.6,77.5,79.1,80.2,4.82,6.97,8.72,18.7,20.3,218000.0,278000.0,349000.0,505000.0,521000.0,218.0,278.0,349.0,505.0,521.0,90.8,43.8,14.9,8.24,6.86
Mongolia,Asia,60.2,60.7,64.8,68.1,68.8,5.94,3.76,8.53,10.2,10.3,2120000.0,2430000.0,2670000.0,3230000.0,3450000.0,2.12,2.43,2.67,3.23,3.45,113.0,68.6,28.6,15.7,13.4
Nepal,Asia,57.6,64.8,68.8,71.1,72.2,2.28,3.14,4.96,7.59,7.7,19100000.0,24100000.0,27000000.0,28800000.0,30900000.0,19.1,24.1,27.0,28.8,30.9,147.0,85.8,49.4,31.0,26.7
Oman,Asia,66.3,68.8,70.2,74.0,74.7,21.6,34.4,42.7,33.5,34.3,1710000.0,2310000.0,2700000.0,4600000.0,4640000.0,1.71,2.31,2.7,4.6,4.64,42.9,17.6,11.8,10.9,9.5
Pakistan,Asia,61.0,60.9,63.1,65.9,66.5,2.16,3.34,4.19,5.02,5.18,112000000.0,150000000.0,190000000.0,223000000.0,240000000.0,112.0,150.0,190.0,223.0,240.0,141.0,115.0,90.0,67.9,62.9
Philippines,Asia,67.9,70.5,70.4,71.8,72.3,4.69,6.45,6.99,8.0,8.48,60100000.0,76200000.0,92900000.0,110000000.0,117000000.0,60.1,76.2,92.9,110.0,117.0,60.2,38.6,32.4,27.8,25.5
Qatar,Asia,70.3,70.6,72.8,76.3,76.8,55.9,84.7,107.0,105.0,113.0,427000.0,613000.0,1610000.0,2810000.0,2720000.0,427.0,613.0,1.61,2.81,2.72,22.2,12.9,9.2,6.66,6.02
Saudi Arabia,Asia,68.2,70.2,71.6,74.5,75.1,31.3,38.7,41.6,48.0,50.4,15400000.0,21000000.0,28500000.0,35800000.0,36900000.0,15.4,21.0,28.5,35.8,36.9,48.4,23.5,12.9,6.75,5.95
Singapore,Asia,75.2,78.8,82.5,84.8,85.4,39.9,61.4,82.3,117.0,129.0,2950000.0,3970000.0,5010000.0,5870000.0,6010000.0,2.95,3.97,5.01,5.87,6.01,8.4,4.12,2.83,2.7,2.43
Sri Lanka,Asia,69.3,71.6,73.4,77.3,78.0,4.53,5.45,6.91,9.25,8.64,17000000.0,18700000.0,20500000.0,21600000.0,21900000.0,17.0,18.7,20.5,21.6,21.9,22.2,17.1,12.0,7.2,6.37
Syria,Asia,68.9,70.9,74.7,73.9,77.4,5.89,8.16,10.7,6.37,2.81,12000000.0,15900000.0,21800000.0,20100000.0,23200000.0,12.0,15.9,21.8,20.1,23.2,39.0,24.6,16.3,15.8,11.7
Tajikistan,Asia,66.9,66.3,68.0,69.6,70.3,7.61,2.13,5.57,7.87,9.53,5260000.0,6190000.0,7470000.0,9340000.0,10100000.0,5.26,6.19,7.47,9.34,10.1,102.0,90.4,44.8,33.6,29.0
Thailand,Asia,71.1,71.4,76.9,78.4,79.1,6.25,8.68,13.3,16.0,17.5,54300000.0,62400000.0,67800000.0,71300000.0,71800000.0,54.3,62.4,67.8,71.3,71.8,38.9,23.0,14.0,8.77,7.85
Turkey,Asia,68.3,72.8,76.8,78.4,79.3,10.7,11.1,16.4,22.2,26.7,53300000.0,63200000.0,72200000.0,83500000.0,85800000.0,53.3,63.2,72.2,83.5,85.8,78.4,40.9,18.6,10.1,8.71
Turkmenistan,Asia,65.6,65.5,68.8,70.8,71.3,6.48,3.83,6.68,12.8,12.7,3620000.0,4500000.0,5180000.0,6160000.0,6520000.0,3.62,4.5,5.18,6.16,6.52,86.5,83.1,61.9,45.1,42.0
Uzbekistan,Asia,69.3,65.5,66.2,68.4,68.8,3.85,1.97,2.2,3.4,3.83,20100000.0,24600000.0,28200000.0,33000000.0,35200000.0,20.1,24.6,28.2,33.0,35.2,73.5,65.2,38.9,20.8,19.4
Vietnam,Asia,68.9,72.0,73.1,74.5,74.9,2.72,3.91,7.25,14.2,17.0,65500000.0,78100000.0,86500000.0,95800000.0,98900000.0,65.5,78.1,86.5,95.8,98.9,53.7,31.4,23.4,20.4,19.0
Yemen,Asia,58.6,63.0,67.2,67.7,68.1,5.25,6.1,4.87,2.51,2.16,12900000.0,18100000.0,24000000.0,31500000.0,34400000.0,12.9,18.1,24.0,31.5,34.4,130.0,99.3,58.0,54.9,52.8
Albania,Europe,72.5,75.1,78.0,78.5,79.0,8.66,8.02,9.91,13.7,16.9,3280000.0,3210000.0,2930000.0,2870000.0,2830000.0,3.28,3.21,2.93,2.87,2.83,42.7,27.4,14.4,8.68,8.01
Andorra,Europe,79.0,80.6,81.8,82.2,0.0,47.3,53.7,71.1,61.9,61.3,51600.0,65700.0,73900.0,76300.0,80100.0,51.6,65.7,73.9,76.3,80.1,11.5,6.68,4.39,2.87,2.77
Armenia,Europe,71.0,71.9,73.6,75.7,76.3,14.0,5.1,6.97,7.91,9.41,3450000.0,3210000.0,2960000.0,2820000.0,2780000.0,3.45,3.21,2.96,2.82,2.78,51.0,32.3,19.5,12.1,10.9
Austria,Europe,75.7,78.2,80.5,82.2,82.8,48.4,53.5,62.5,66.2,71.5,7620000.0,7990000.0,8340000.0,8880000.0,8960000.0,7.62,7.99,8.34,8.88,8.96,9.98,5.61,4.44,3.37,2.73
Azerbaijan,Europe,67.0,66.2,68.8,71.0,71.4,15.7,6.04,18.1,19.2,20.2,7350000.0,8100000.0,9120000.0,10200000.0,10400000.0,7.35,8.1,9.12,10.2,10.4,96.0,80.0,40.3,20.7,19.2
Belarus,Europe,71.6,68.2,70.6,74.0,74.5,8.13,4.19,12.6,19.1,18.4,10400000.0,10300000.0,9760000.0,9670000.0,9500000.0,10.4,10.3,9.76,9.67,9.5,15.4,13.7,6.0,3.35,2.95
Belgium,Europe,75.9,77.8,80.0,81.4,82.0,36.6,51.5,54.7,59.0,64.0,9940000.0,10200000.0,10800000.0,11500000.0,11700000.0,9.94,10.2,10.8,11.5,11.7,10.3,6.06,4.55,3.51,3.05
Bosnia and Herzegovina,Europe,72.3,75.4,76.1,77.0,77.6,5.65,12.1,21.7,28.8,33.1,4480000.0,4150000.0000000005,3880000.0,3360000.0,3210000.0,4.48,4.15,3.88,3.36,3.21,19.6,10.3,7.53,5.66,5.03
Bulgaria,Europe,70.1,70.0,72.1,73.3,73.8,25.3,9.02,18.2,27.4,37.7,8800000.0,8160000.0,7630000.0,7050000.0,6690000.0,8.8,8.16,7.63,7.05,6.69,18.0,18.2,11.1,6.76,6.06
Croatia,Europe,72.2,74.1,76.5,78.7,79.3,24.6,19.6,28.1,29.1,39.4,4870000.0,4610000.0,4380000.0,4130000.0,4010000.0,4.87,4.61,4.38,4.13,4.01,13.7,8.62,5.67,4.57,4.07
Cyprus,Europe,74.8,76.3,79.1,80.8,81.4,28.4,38.5,51.8,51.6,58.8,778000.0,932000.0,1110000.0,1230000.0,1260000.0,778.0,932.0,1.11,1.23,1.26,11.3,7.05,3.79,2.3,2.03
Denmark,Europe,75.1,76.7,79.2,81.1,81.7,48.0,51.9,55.8,62.7,70.3,5130000.0,5320000.0,5530000.0,5800000.0,5910000.0,5.13,5.32,5.53,5.8,5.91,9.33,5.62,4.19,4.1,3.6
Estonia,Europe,70.5,70.7,75.2,78.0,78.6,19.3,12.6,25.2,41.0,44.2,1570000.0,1400000.0,1330000.0,1330000.0,1320000.0,1.57,1.4,1.33,1.33,1.32,17.8,11.9,4.98,2.5,2.24
Finland,Europe,75.3,77.8,80.2,81.9,82.5,37.7,41.9,53.9,58.8,60.8,4960000.0,5170000.0,5340000.0,5520000.0,5550000.0,4.96,5.17,5.34,5.52,5.55,6.96,4.41,3.21,1.63,1.43
France,Europe,77.0,78.9,81.4,82.9,83.4,41.3,47.3,57.9,56.2,63.0,56200000.0,58400000.0,62100000.0,64400000.00000001,64800000.0,56.2,58.4,62.1,64.4,64.8,9.31,5.5,4.31,3.94,3.56
Georgia,Europe,68.5,70.7,71.7,73.4,74.0,29.8,4.97,6.12,7.97,8.84,5450000.0,4390000.0,3860000.0,3770000.0,3730000.0,5.45,4.39,3.86,3.77,3.73,48.2,39.0,15.6,9.37,8.27
Germany,Europe,75.7,78.1,80.3,81.2,81.8,48.3,54.6,57.9,65.9,65.1,78900000.0,81600000.0,81300000.0,83100000.0,83300000.0,78.9,81.6,81.3,83.1,83.3,9.02,5.52,4.27,3.46,2.63
Greece,Europe,77.1,78.2,80.2,80.9,81.6,27.3,30.7,41.4,28.5,34.3,10200000.0,11000000.0,11100000.0,10600000.0,10300000.0,10.2,11.0,11.1,10.6,10.3,11.1,6.86,3.91,4.37,4.09
Hungary,Europe,69.4,71.1,74.4,76.6,77.1,10.2,14.3,19.4,28.3,33.7,10400000.0,10200000.0,10000000.0,9770000.0,10200000.0,10.4,10.2,10.0,9.77,10.2,17.9,10.7,6.22,4.12,3.68
Iceland,Europe,77.9,79.9,82.4,84.1,84.7,39.9,44.8,53.8,64.0,62.5,253000.0,278000.0,319000.0,361000.0,375000.0,253.0,278.0,319.0,361.0,375.0,6.65,4.26,2.72,1.92,1.77
Ireland,Europe,74.7,76.4,80.2,82.0,82.6,21.8,36.5,45.7,55.8,72.5,3480000.0,3720000.0,4500000.0,4900000.0,5060000.0,3.48,3.72,4.5,4.9,5.06,9.62,7.29,4.3,3.42,2.64
Italy,Europe,77.0,79.3,81.8,83.1,83.7,37.8,38.4,49.3,49.9,56.3,56700000.0,56900000.0,59600000.0,59700000.0,58900000.0,56.7,56.9,59.6,59.7,58.9,9.99,5.87,4.06,2.93,2.55
